Episode,Loss,Epsilon,WinRandom,WinChampion
82150,0.7223,0.1000,,
82200,0.6947,0.1000,,
82250,0.6347,0.1000,,
82250,0.6347,0.1000,97.0%,
82300,0.6278,0.1000,,
82350,0.6481,0.1000,,
82400,0.7974,0.1000,,
82450,0.6563,0.1000,,
82500,0.6164,0.1000,,
82500,0.6164,0.1000,95.0%,
82550,0.6204,0.1000,,
82600,0.4528,0.1000,,
82650,0.5980,0.1000,,
82700,0.5103,0.1000,,
82750,0.4414,0.1000,,
82750,0.4414,0.1000,90.0%,
82800,0.4982,0.1000,,
82850,0.5584,0.1000,,
82900,0.5970,0.1000,,
82950,0.5088,0.1000,,
83000,0.4976,0.1000,,
83000,0.4976,0.1000,91.0%,
83000,0.4976,0.1000,,Failed
83050,0.5503,0.1000,,
83100,0.6652,0.1000,,
83150,0.6419,0.1000,,
83200,0.4640,0.1000,,
83250,0.4710,0.1000,,
83250,0.4710,0.1000,88.0%,
83300,0.6258,0.1000,,
83350,0.6690,0.1000,,
83400,0.5797,0.1000,,
83450,0.6072,0.1000,,
83500,0.5301,0.1000,,
83500,0.5301,0.1000,97.0%,
83550,0.4585,0.1000,,
83600,0.4301,0.1000,,
83650,0.3019,0.1000,,
83700,0.4929,0.1000,,
83750,0.5695,0.1000,,
83750,0.5695,0.1000,93.0%,
83800,0.3986,0.1000,,
83850,0.3056,0.1000,,
83900,0.5296,0.1000,,
83950,0.5444,0.1000,,
84000,0.4559,0.1000,,
84000,0.4559,0.1000,95.0%,
84000,0.4559,0.1000,,Failed
84050,0.5640,0.1000,,
84100,0.4266,0.1000,,
84150,0.5624,0.1000,,
84200,0.6559,0.1000,,
84250,0.5335,0.1000,,
84250,0.5335,0.1000,94.0%,
84300,0.5493,0.1000,,
84350,0.5973,0.1000,,
84400,0.6995,0.1000,,
84450,0.6100,0.1000,,
84500,0.5870,0.1000,,
84500,0.5870,0.1000,85.0%,
84550,0.6427,0.1000,,
84600,0.5363,0.1000,,
84650,0.4338,0.1000,,
84700,0.4652,0.1000,,
84750,0.4461,0.1000,,
84750,0.4461,0.1000,94.0%,
84800,0.7125,0.1000,,
84850,0.9135,0.1000,,
84900,0.6805,0.1000,,
84950,0.4960,0.1000,,
85000,0.5469,0.1000,,
85000,0.5469,0.1000,91.0%,
85000,0.5469,0.1000,,Failed
85050,0.6626,0.1000,,
85100,0.5125,0.1000,,
85150,0.4735,0.1000,,
85200,0.4955,0.1000,,
85250,0.4981,0.1000,,
85250,0.4981,0.1000,93.0%,
85300,0.6806,0.1000,,
85350,0.6242,0.1000,,
85400,0.4334,0.1000,,
85450,0.4095,0.1000,,
85500,0.4749,0.1000,,
85500,0.4749,0.1000,65.0%,
85550,0.6782,0.1000,,
85600,0.6728,0.1000,,
85650,0.4837,0.1000,,
85700,0.4351,0.1000,,
85750,0.4399,0.1000,,
85750,0.4399,0.1000,100.0%,
85800,0.5261,0.1000,,
85850,0.6912,0.1000,,
85900,0.5485,0.1000,,
85950,0.3735,0.1000,,
86000,0.5740,0.1000,,
86000,0.5740,0.1000,94.0%,
86000,0.5740,0.1000,,Failed
86050,0.5554,0.1000,,
86100,0.3933,0.1000,,
86150,0.5682,0.1000,,
86200,0.6625,0.1000,,
86250,0.4761,0.1000,,
86250,0.4761,0.1000,97.0%,
86300,0.3523,0.1000,,
86350,0.3629,0.1000,,
86400,0.4356,0.1000,,
86450,0.4728,0.1000,,
86500,0.5290,0.1000,,
86500,0.5290,0.1000,100.0%,
86550,0.7394,0.1000,,
86600,0.6624,0.1000,,
86650,0.5199,0.1000,,
86700,0.5338,0.1000,,
86750,0.4552,0.1000,,
86750,0.4552,0.1000,89.0%,
86800,0.5872,0.1000,,
86850,0.6104,0.1000,,
86900,0.4726,0.1000,,
86950,0.4576,0.1000,,
87000,0.4478,0.1000,,
87000,0.4478,0.1000,97.0%,
87000,0.4478,0.1000,,Failed
87050,0.5123,0.1000,,
87100,0.5697,0.1000,,
87150,0.6074,0.1000,,
87200,0.6105,0.1000,,
87250,0.5100,0.1000,,
87250,0.5100,0.1000,55.0%,
87300,0.5111,0.1000,,
87350,0.4961,0.1000,,
87400,0.5035,0.1000,,
87450,0.5086,0.1000,,
87500,0.4809,0.1000,,
87500,0.4809,0.1000,93.0%,
87550,0.5723,0.1000,,
87600,0.6044,0.1000,,
87650,0.5389,0.1000,,
87700,0.4727,0.1000,,
87750,0.4138,0.1000,,
87750,0.4138,0.1000,86.0%,
87800,0.4798,0.1000,,
87850,0.6795,0.1000,,
87900,0.6110,0.1000,,
87950,0.4552,0.1000,,
88000,0.4860,0.1000,,
88000,0.4860,0.1000,86.0%,
88000,0.4860,0.1000,,Failed
88050,0.5371,0.1000,,
88100,0.5698,0.1000,,
88150,0.6810,0.1000,,
88200,0.5738,0.1000,,
88250,0.5448,0.1000,,
88250,0.5448,0.1000,88.0%,
88300,0.6637,0.1000,,
88350,0.6191,0.1000,,
88400,0.5224,0.1000,,
88450,0.4903,0.1000,,
88500,0.5421,0.1000,,
88500,0.5421,0.1000,88.0%,
88550,0.4421,0.1000,,
88600,0.5008,0.1000,,
88650,0.5179,0.1000,,
88700,0.4846,0.1000,,
88750,0.4595,0.1000,,
88750,0.4595,0.1000,95.0%,
88800,0.4292,0.1000,,
88850,0.6671,0.1000,,
88900,0.6723,0.1000,,
88950,0.4439,0.1000,,
89000,0.3778,0.1000,,
89000,0.3778,0.1000,93.0%,
89000,0.3778,0.1000,,Failed
89050,0.5160,0.1000,,
89100,0.5361,0.1000,,
89150,0.5222,0.1000,,
89200,0.6059,0.1000,,
89250,0.5886,0.1000,,
89250,0.5886,0.1000,91.0%,
89300,0.6495,0.1000,,
89350,0.6133,0.1000,,
89400,0.5241,0.1000,,
89450,0.5655,0.1000,,
89500,0.4469,0.1000,,
89500,0.4469,0.1000,82.0%,
89550,0.4027,0.1000,,
89600,0.5151,0.1000,,
89650,0.5032,0.1000,,
89700,0.5121,0.1000,,
89750,0.5033,0.1000,,
89750,0.5033,0.1000,92.0%,
89800,0.3829,0.1000,,
89850,0.3400,0.1000,,
89900,0.5458,0.1000,,
89950,0.6940,0.1000,,
90000,0.7105,0.1000,,
90000,0.7105,0.1000,63.0%,
90000,0.7105,0.1000,,Failed
90050,0.6981,0.1000,,
90100,0.6669,0.1000,,
90150,0.5751,0.1000,,
90200,0.3994,0.1000,,
90250,0.4717,0.1000,,
90250,0.4717,0.1000,92.0%,
90300,0.6672,0.1000,,
90350,0.7766,0.1000,,
90400,0.6326,0.1000,,
90450,0.4578,0.1000,,
90500,0.4503,0.1000,,
90500,0.4503,0.1000,59.0%,
90550,0.3790,0.1000,,
90600,0.4594,0.1000,,
90650,0.4940,0.1000,,
90700,0.3455,0.1000,,
90750,0.5280,0.1000,,
90750,0.5280,0.1000,50.0%,
90800,0.5435,0.1000,,
90850,0.3536,0.1000,,
90900,0.4191,0.1000,,
90950,0.5944,0.1000,,
91000,0.6187,0.1000,,
91000,0.6187,0.1000,98.0%,
91000,0.6187,0.1000,,Failed
91050,0.4139,0.1000,,
91100,0.4079,0.1000,,
91150,0.5272,0.1000,,
91200,0.4676,0.1000,,
91250,0.3883,0.1000,,
91250,0.3883,0.1000,85.0%,
91300,0.5211,0.1000,,
91350,0.5867,0.1000,,
91400,0.5379,0.1000,,
91450,0.6163,0.1000,,
91500,0.5565,0.1000,,
91500,0.5565,0.1000,89.0%,
91550,0.5614,0.1000,,
91600,0.7231,0.1000,,
91650,0.5830,0.1000,,
91700,0.4948,0.1000,,
91750,0.6807,0.1000,,
91750,0.6807,0.1000,97.0%,
91800,0.7244,0.1000,,
91850,0.5155,0.1000,,
91900,0.4938,0.1000,,
91950,0.5702,0.1000,,
92000,0.4478,0.1000,,
92000,0.4478,0.1000,91.0%,
92000,0.4478,0.1000,,Failed
92050,0.4684,0.1000,,
92100,0.5832,0.1000,,
92150,0.5205,0.1000,,
92200,0.6107,0.1000,,
92250,0.6113,0.1000,,
92250,0.6113,0.1000,98.0%,
92300,0.4988,0.1000,,
92350,0.5653,0.1000,,
92400,0.6512,0.1000,,
92450,0.5525,0.1000,,
92500,0.6203,0.1000,,
92500,0.6203,0.1000,85.0%,
92550,0.7719,0.1000,,
92600,0.5733,0.1000,,
92650,0.5193,0.1000,,
92700,0.5190,0.1000,,
92750,0.6097,0.1000,,
92750,0.6097,0.1000,90.0%,
92800,0.6000,0.1000,,
92850,0.3892,0.1000,,
92900,0.5327,0.1000,,
92950,0.6120,0.1000,,
93000,0.4943,0.1000,,
93000,0.4943,0.1000,96.0%,
93000,0.4943,0.1000,,Failed
93050,0.5912,0.1000,,
93100,0.6141,0.1000,,
93150,0.5277,0.1000,,
93200,0.5854,0.1000,,
93250,0.5158,0.1000,,
93250,0.5158,0.1000,87.0%,
93300,0.4078,0.1000,,
93350,0.3801,0.1000,,
93400,0.5435,0.1000,,
93450,0.5310,0.1000,,
93500,0.4365,0.1000,,
